round,client_id,f1_05,precision_05,recall_05,f1_optimal,precision_optimal,recall_optimal,roc_auc,auc_pr,best_threshold,num_examples,imbalance_strategy,imbalance_sampling
1,m741,0.49673202614379086,0.37254901960784315,0.7450980392156863,0.6813186813181886,0.775,0.6078431372549019,0.994214805631053,0.6730453181692612,0.8678547739982605,17084,adasyn,0.01
1,m1818,0.4688995215311005,0.35766423357664234,0.6805555555555556,0.6393442622945981,0.78,0.5416666666666666,0.9914711096692161,0.6430054723237676,0.8815601468086243,17025,adasyn,0.01
1,m2310,0.4806201550387597,0.4,0.6019417475728155,0.5875706214684399,0.7027027027027027,0.5048543689320388,0.9832303618711385,0.5590895273960326,0.7934262156486511,20860,adasyn,0.01
1,m544,0.41904761904761906,0.3120567375886525,0.6376811594202898,0.5811965811960973,0.7083333333333334,0.4927536231884058,0.9883108111439235,0.48644250435218317,0.8520943522453308,17707,adasyn,0.01
2,m741,0.5390070921985816,0.4222222222222222,0.7450980392156863,0.7021276595739718,0.7674418604651163,0.6470588235294118,0.9948755760156467,0.692053605386543,0.7860285043716431,17084,adasyn,0.01
2,m1818,0.5,0.4,0.6666666666666666,0.6515151515146556,0.7166666666666667,0.5972222222222222,0.9920683490958664,0.6546700274910533,0.7733883261680603,17025,adasyn,0.01
2,m2310,0.5191489361702127,0.4621212121212121,0.5922330097087378,0.6035502958575121,0.7727272727272727,0.49514563106796117,0.9842935194163064,0.5749736513993645,0.8050900101661682,20860,adasyn,0.01
2,m544,0.46236559139784944,0.36752136752136755,0.6231884057971014,0.5982905982901143,0.7291666666666666,0.5072463768115942,0.9888375066350485,0.49079637445460694,0.8193514943122864,17707,adasyn,0.01
3,m741,0.59375,0.4935064935064935,0.7450980392156863,0.7096774193543433,0.7857142857142857,0.6470588235294118,0.9953959039143163,0.7077203755043989,0.7728210687637329,17084,adasyn,0.01
3,m1818,0.5251396648044693,0.4392523364485981,0.6527777777777778,0.6616541353378493,0.7213114754098361,0.6111111111111112,0.9924747012983609,0.6637458738455924,0.7230752110481262,17025,adasyn,0.01
3,m2310,0.5429864253393665,0.5084745762711864,0.5825242718446602,0.6181818181813491,0.8225806451612904,0.49514563106796117,0.9851008269055099,0.5895024472315497,0.7953082919120789,20860,adasyn,0.01
3,m544,0.4942528735632184,0.4095238095238095,0.6231884057971014,0.6034482758615869,0.7446808510638298,0.5072463768115942,0.9892754609201806,0.5056323851623572,0.7926352024078369,17707,adasyn,0.01
4,m741,0.6229508196721312,0.5352112676056338,0.7450980392156863,0.7173913043473319,0.8048780487804879,0.6470588235294118,0.9957090215878519,0.7196396013115158,0.7788835763931274,17084,adasyn,0.01
4,m1818,0.5562130177514792,0.4845360824742268,0.6527777777777778,0.6717557251903447,0.7457627118644068,0.6111111111111112,0.9926967203444819,0.6724030541827494,0.7005519270896912,17025,adasyn,0.01
4,m2310,0.5576923076923077,0.5523809523809524,0.5631067961165048,0.6257668711651789,0.85,0.49514563106796117,0.9854319820053686,0.5978104306091628,0.784119725227356,20860,adasyn,0.01
4,m544,0.5185185185185185,0.45161290322580644,0.6086956521739131,0.606557377048689,0.6981132075471698,0.5362318840579711,0.989527716014994,0.5252048372532357,0.6954512596130371,17707,adasyn,0.01
5,m1818,0.5542168674698795,0.48936170212765956,0.6388888888888888,0.6717557251903447,0.7457627118644068,0.6111111111111112,0.9929588830557685,0.6806147100508052,0.6761410236358643,17025,adasyn,0.01
5,m741,0.6491228070175439,0.5873015873015873,0.7254901960784313,0.7333333333328422,0.8461538461538461,0.6470588235294118,0.9961407095568809,0.7388405673319628,0.7772146463394165,17084,adasyn,0.01
5,m2310,0.5773195876288659,0.6153846153846154,0.5436893203883495,0.6219512195117278,0.8360655737704918,0.49514563106796117,0.9859469562496405,0.6068264651126551,0.7533950805664062,20860,adasyn,0.01
5,m544,0.5490196078431373,0.5,0.6086956521739131,0.616666666666178,0.7254901960784313,0.5362318840579711,0.989665757890983,0.534680424861184,0.6938104033470154,17707,adasyn,0.01
6,m1818,0.5822784810126582,0.5348837209302325,0.6388888888888888,0.6666666666661768,0.7777777777777778,0.5833333333333334,0.9930965184791941,0.685501683444754,0.7377431988716125,17025,adasyn,0.01
6,m741,0.6785714285714286,0.6229508196721312,0.7450980392156863,0.738095238094761,0.9393939393939394,0.6078431372549019,0.9963790013157849,0.7483755053712077,0.8345614075660706,17084,adasyn,0.01
6,m2310,0.5894736842105263,0.6436781609195402,0.5436893203883495,0.6265060240959145,0.8253968253968254,0.5048543689320388,0.9860779215433698,0.6113021277582414,0.7106168270111084,20860,adasyn,0.01
