round,client_id,f1_05,f1_optimal,auc,best_threshold,num_examples,imbalance_strategy,imbalance_sampling
1,m741,0.48148148148148145,0.6947368421047659,0.9930446434430051,0.9388926029205322,17084,adasyn,0.01
1,m1818,0.4666666666666667,0.6890756302516229,0.9897654135289068,0.9585196375846863,17025,adasyn,0.01
1,m2310,0.445993031358885,0.6071428571423826,0.9832747965243682,0.9349529147148132,20860,adasyn,0.01
1,m544,0.4131455399061033,0.606557377048689,0.9863823332692425,0.9039484262466431,17707,adasyn,0.01
2,m741,0.5379310344827586,0.7021276595739718,0.9941048690949403,0.9162790775299072,17084,adasyn,0.01
2,m1818,0.4948453608247423,0.6890756302516229,0.99121795880113,0.949766218662262,17025,adasyn,0.01
2,m2310,0.46616541353383456,0.6101694915249372,0.9855769792948548,0.869932234287262,20860,adasyn,0.01
2,m544,0.4607329842931937,0.6181818181813505,0.9873814935144968,0.920511782169342,17707,adasyn,0.01
3,m1818,0.5414364640883977,0.6890756302516229,0.9921297934813241,0.9299930334091187,17025,adasyn,0.01
3,m741,0.5547445255474452,0.7234042553186525,0.9950165940855296,0.8928809762001038,17084,adasyn,0.01
3,m2310,0.5020576131687243,0.6101694915249372,0.9872996406405886,0.8175126910209656,20860,adasyn,0.01
3,m544,0.5113636363636364,0.6153846153841314,0.9884702166435775,0.8580836653709412,17707,adasyn,0.01
4,m741,0.5757575757575758,0.7234042553186525,0.9954517355583107,0.8725046515464783,17084,adasyn,0.01
4,m1818,0.5664739884393064,0.6890756302516229,0.9924517620611232,0.9142869114875793,17025,adasyn,0.01
4,m2310,0.5286343612334802,0.6111111111106216,0.9879727087037196,0.777758002281189,20860,adasyn,0.01
4,m544,0.5325443786982249,0.6142857142852143,0.988949254820373,0.6785170435905457,17707,adasyn,0.01
5,m1818,0.5833333333333334,0.6846846846842288,0.9927983083951054,0.9339926242828369,17025,adasyn,0.01
5,m741,0.6031746031746031,0.7333333333328422,0.9957383763697459,0.9010086059570312,17084,adasyn,0.01
5,m2310,0.5566037735849056,0.6249999999995144,0.9881691566443137,0.7690728306770325,20860,adasyn,0.01
5,m544,0.5569620253164557,0.6181818181813505,0.9891513875673571,0.8567178249359131,17707,adasyn,0.01
6,m741,0.6218487394957983,0.7391304347821145,0.9959570982740539,0.8537014722824097,17084,adasyn,0.01
6,m1818,0.5975609756097561,0.6902654867252013,0.9931161806825406,0.9066559076309204,17025,adasyn,0.01
6,m2310,0.5700483091787439,0.6363636363631509,0.9886340834370532,0.7315952777862549,20860,adasyn,0.01
6,m544,0.5789473684210527,0.6333333333328446,0.9893444818581751,0.741204559803009,17707,adasyn,0.01
7,m741,0.6271186440677966,0.7526881720425155,0.9960434358678597,0.8254671692848206,17084,adasyn,0.01
7,m1818,0.6282051282051282,0.692307692307198,0.9933300071439339,0.7043226361274719,17025,adasyn,0.01
7,m2310,0.5870646766169154,0.6399999999995156,0.9887332428737341,0.7067840099334717,20860,adasyn,0.01
7,m544,0.581081081081081,0.6440677966096838,0.9894241846080022,0.7343613505363464,17707,adasyn,0.01
8,m741,0.6271186440677966,0.7526881720425155,0.9961182617824914,0.8036001920700073,17084,adasyn,0.01
8,m1818,0.6621621621621622,0.7022900763353827,0.9935290869528173,0.6697914600372314,17025,adasyn,0.01
8,m2310,0.5989847715736041,0.6399999999995156,0.9889296908143281,0.6805158853530884,20860,adasyn,0.01
8,m544,0.5972222222222222,0.6370370370365372,0.9896419292338183,0.5866608023643494,17707,adasyn,0.01
9,m741,0.6379310344827587,0.7472527472522545,0.9962241692308932,0.8463472723960876,17084,adasyn,0.01
9,m1818,0.6575342465753424,0.7022900763353827,0.9937822378209036,0.6721993088722229,17025,adasyn,0.01
9,m2310,0.6113989637305699,0.6363636363631509,0.9892168789941491,0.6479583382606506,20860,adasyn,0.01
9,m544,0.6056338028169014,0.646616541352884,0.9898161249344711,0.5795174837112427,17707,adasyn,0.01
10,m1818,0.6713286713286714,0.7022900763353827,0.993895295490146,0.653266191482544,17025,adasyn,0.01
10,m741,0.6491228070175439,0.7555555555550644,0.9962633089400852,0.8534289002418518,17084,adasyn,0.01
10,m2310,0.6145833333333334,0.6368715083793995,0.9893122965652948,0.5937172174453735,20860,adasyn,0.01
10,m544,0.6330935251798561,0.6515151515146526,0.9898703556714669,0.5615828037261963,17707,adasyn,0.01
11,m741,0.6548672566371682,0.7555555555550644,0.9963577047093128,0.8439603447914124,17084,adasyn,0.01
11,m1818,0.6906474820143885,0.69999999999952,0.9940714360617918,0.7330566048622131,17025,adasyn,0.01
11,m2310,0.6344086021505376,0.6382978723399301,0.9893726341470488,0.49142125248908997,20860,adasyn,0.01
11,m544,0.6423357664233577,0.6567164179099481,0.9899393766094614,0.5231326222419739,17707,adasyn,0.01
12,m1818,0.6906474820143885,0.7049180327864015,0.9943147558282048,0.710669755935669,17025,adasyn,0.01
12,m741,0.6607142857142857,0.7499999999995125,0.996593694132382,0.8681756258010864,17084,adasyn,0.01
12,m2310,0.6417112299465241,0.6417112299460292,0.9899484137062664,0.5042650103569031,20860,adasyn,0.01
12,m544,0.6567164179104478,0.6567164179099481,0.9904175931084237,0.5289014577865601,17707,adasyn,0.01
13,m1818,0.6906474820143885,0.7107438016524106,0.9944868001074867,0.7145838141441345,17025,adasyn,0.01
13,m741,0.6788990825688074,0.7555555555550644,0.9966662177111789,0.8194544911384583,17084,adasyn,0.01
13,m2310,0.6417112299465241,0.6417112299460292,0.9901008947268227,0.5078748464584351,20860,adasyn,0.01
13,m544,0.6466165413533834,0.6567164179099481,0.9905334496829145,0.48973584175109863,17707,adasyn,0.01
14,m1818,0.6906474820143885,0.7142857142852245,0.9946596636452414,0.6539667248725891,17025,adasyn,0.01
14,m741,0.6785714285714286,0.7499999999995021,0.9967433459616454,0.681854784488678,17084,adasyn,0.01
14,m2310,0.6344086021505376,0.6417112299460292,0.990378260509614,0.49649882316589355,20860,adasyn,0.01
14,m544,0.6466165413533834,0.6567164179099481,0.990874445983721,0.46304553747177124,17707,adasyn,0.01
15,m741,0.6846846846846847,0.7472527472522545,0.996747950633315,0.8155202865600586,17084,adasyn,0.01
15,m1818,0.6906474820143885,0.7142857142852245,0.9947850101915754,0.6637340784072876,17025,adasyn,0.01
15,m2310,0.648936170212766,0.6524064171118046,0.9906621745570917,0.5039409399032593,20860,adasyn,0.01
15,m544,0.6466165413533834,0.646616541352884,0.9910774004085382,0.5276125073432922,17707,adasyn,0.01
16,m1818,0.6906474820143885,0.7096774193543517,0.9948218768228502,0.6905534267425537,17025,adasyn,0.01
16,m741,0.6846846846846847,0.7472527472522545,0.9967847880066721,0.814741849899292,17084,adasyn,0.01
16,m2310,0.6417112299465241,0.6526315789468718,0.9909498304701047,0.48994413018226624,20860,adasyn,0.01
16,m544,0.6466165413533834,0.646616541352884,0.9912384492638588,0.5201560258865356,17707,adasyn,0.01
17,m741,0.6851851851851852,0.7555555555550644,0.9968550092496342,0.8205481171607971,17084,adasyn,0.01
17,m1818,0.6956521739130435,0.7154471544710593,0.994875947882053,0.6937887072563171,17025,adasyn,0.01
17,m2310,0.6382978723404256,0.651933701656968,0.9910106357850504,0.5581182241439819,20860,adasyn,0.01
17,m544,0.6466165413533834,0.6515151515146526,0.9912343408746924,0.5176080465316772,17707,adasyn,0.01
18,m1818,0.6956521739130435,0.7213114754093524,0.9949029834116544,0.6946163773536682,17025,adasyn,0.01
18,m741,0.6915887850467289,0.7608695652168971,0.9969091141417525,0.794410765171051,17084,adasyn,0.01
18,m2310,0.6417112299465241,0.6553672316379314,0.991123827217488,0.6072013974189758,20860,adasyn,0.01
18,m544,0.6412213740458015,0.6515151515146526,0.9912244807406932,0.4991476833820343,17707,adasyn,0.01
19,m1818,0.6861313868613139,0.7213114754093524,0.9949660663140579,0.7004677057266235,17025,adasyn,0.01
19,m741,0.6981132075471698,0.7608695652168971,0.9968929977909088,0.7992746233940125,17084,adasyn,0.01
19,m2310,0.6486486486486487,0.6553672316379314,0.9914980137710006,0.6070247888565063,20860,adasyn,0.01
19,m544,0.6412213740458015,0.6515151515146526,0.9915038512040045,0.4891372621059418,17707,adasyn,0.01
20,m1818,0.6962962962962963,0.7258064516124161,0.9949865477758771,0.6720268130302429,17025,adasyn,0.01
20,m741,0.6981132075471698,0.7608695652168971,0.9968492534100472,0.8022031784057617,17084,adasyn,0.01
20,m2310,0.6486486486486487,0.6559139784941294,0.9915256100293223,0.47885456681251526,20860,adasyn,0.01
20,m544,0.6412213740458015,0.6619718309854159,0.9915104246266707,0.386656790971756,17707,adasyn,0.01
21,m741,0.6981132075471698,0.7692307692302764,0.9968814861117347,0.7988555431365967,17084,adasyn,0.01
21,m1818,0.6962962962962963,0.7258064516124161,0.995011944788533,0.6686040163040161,17025,adasyn,0.01
21,m2310,0.6486486486486487,0.6521739130429853,0.9916200921340841,0.5438733100891113,20860,adasyn,0.01
21,m544,0.6461538461538462,0.6715328467148284,0.9915654770414997,0.420497864484787,17707,adasyn,0.01
22,m741,0.6981132075471698,0.7692307692302764,0.996916021149257,0.8080716729164124,17084,adasyn,0.01
22,m1818,0.6962962962962963,0.7258064516124161,0.994993921102132,0.6667627096176147,17025,adasyn,0.01
22,m2310,0.6486486486486487,0.6553672316379314,0.9915634964178655,0.6010221242904663,20860,adasyn,0.01
22,m544,0.6412213740458015,0.6764705882347941,0.9914060715418456,0.43478402495384216,17707,adasyn,0.01
23,m1818,0.6766917293233082,0.7258064516124161,0.9949881862928226,0.6683595776557922,17025,adasyn,0.01
23,m741,0.7047619047619048,0.7692307692302764,0.9968527069137995,0.7990224361419678,17084,adasyn,0.01
23,m2310,0.6521739130434783,0.6555555555550661,0.9914736916450223,0.5620642900466919,20860,adasyn,0.01
23,m544,0.6461538461538462,0.6814814814809816,0.9916722951598245,0.4334442615509033,17707,adasyn,0.01
24,m1818,0.6818181818181818,0.7258064516124161,0.9950352936550071,0.6746402978897095,17025,adasyn,0.01
24,m741,0.7047619047619048,0.7692307692302764,0.9968561604175517,0.8005772829055786,17084,adasyn,0.01
24,m2310,0.6521739130434783,0.6555555555550661,0.9915532062876438,0.5611530542373657,20860,adasyn,0.01
24,m544,0.6564885496183206,0.6814814814809816,0.9916813336159905,0.4404493570327759,17707,adasyn,0.01
