round,client_id,f1_05,precision_05,recall_05,f1_optimal,precision_optimal,recall_optimal,roc_auc,auc_pr,best_threshold,num_examples,imbalance_strategy,imbalance_sampling
1,1677,0.25705329153605017,0.1524163568773234,0.82,0.6024096385537377,0.7575757575757576,0.5,0.9846279710644161,0.5851918355064898,0.9997153878211975,11662,adasyn,0.01
1,2,0.20821917808219179,0.11838006230529595,0.8636363636363636,0.44444444444394826,0.4864864864864865,0.4090909090909091,0.992255326496998,0.3846521965414864,0.9997332692146301,17154,adasyn,0.01
1,146,0.4351851851851852,0.29559748427672955,0.8245614035087719,0.545454545454089,0.7741935483870968,0.42105263157894735,0.9862243713649153,0.5255642779724838,0.999527096748352,8144,adasyn,0.01
1,4,0.12171052631578948,0.06654676258992806,0.7115384615384616,0.4634146341458774,0.6333333333333333,0.36538461538461536,0.9807429638567284,0.3698743293269516,0.9998061060905457,22748,adasyn,0.01
1,4870,0.3448275862068966,0.21212121212121213,0.9210526315789473,0.5289256198342799,0.3855421686746988,0.8421052631578947,0.9954194078947368,0.5802897495485568,0.9407356977462769,8038,adasyn,0.01
2,1677,0.3305785123966942,0.20833333333333334,0.8,0.5348837209297458,0.6388888888888888,0.46,0.9830399586634516,0.45814596248436784,0.9223999977111816,11662,adasyn,0.01
2,2,0.25092250922509224,0.14977973568281938,0.7727272727272727,0.46315789473634483,0.43137254901960786,0.5,0.9711711651878221,0.4061959522620085,0.9470100998878479,17154,adasyn,0.01
2,146,0.46408839779005523,0.3387096774193548,0.7368421052631579,0.4999999999995312,0.4,0.6666666666666666,0.9612199783494845,0.46052757810254386,0.6382275223731995,8144,adasyn,0.01
2,4,0.15668202764976957,0.08900523560209424,0.6538461538461539,0.41999999999950083,0.4375,0.40384615384615385,0.954542142295491,0.34737166293520005,0.9454896450042725,22748,adasyn,0.01
2,4870,0.38461538461538464,0.2542372881355932,0.7894736842105263,0.5454545454540456,0.5384615384615384,0.5526315789473685,0.9953996710526316,0.5782622065279542,0.8985349535942078,8038,adasyn,0.01
3,1677,0.3486238532110092,0.2261904761904762,0.76,0.5393258426961368,0.6153846153846154,0.48,0.9832931450223907,0.4727498968888001,0.9030582308769226,11662,adasyn,0.01
3,2,0.3008849557522124,0.18681318681318682,0.7727272727272727,0.49411764705832417,0.5121951219512195,0.4772727272727273,0.9726668349184422,0.42762446364354956,0.9446260333061218,17154,adasyn,0.01
3,146,0.48148148148148145,0.37142857142857144,0.6842105263157895,0.5179856115103075,0.43902439024390244,0.631578947368421,0.96650461320855,0.4743312453150372,0.626520574092865,8144,adasyn,0.01
3,4,0.17032967032967034,0.09935897435897435,0.5961538461538461,0.44444444444395653,0.5263157894736842,0.38461538461538464,0.9558376942056885,0.35855180405092607,0.9359398484230042,22748,adasyn,0.01
3,4870,0.425531914893617,0.2912621359223301,0.7894736842105263,0.5434782608690802,0.46296296296296297,0.6578947368421053,0.9955476973684211,0.5954581778670118,0.7883923649787903,8038,adasyn,0.01
4,1677,0.3681592039800995,0.24503311258278146,0.74,0.5749999999995312,0.7666666666666667,0.46,0.984660695831898,0.48740659456798413,0.9173734784126282,11662,adasyn,0.01
4,2,0.3147208121827411,0.20261437908496732,0.7045454545454546,0.4893617021271616,0.46,0.5227272727272727,0.9755333138515488,0.4491264981325524,0.8842470645904541,17154,adasyn,0.01
4,146,0.49333333333333335,0.3978494623655914,0.6491228070175439,0.5174825174820379,0.43023255813953487,0.6491228070175439,0.9679841374178615,0.48835554619277605,0.5480540990829468,8144,adasyn,0.01
4,4,0.19745222929936307,0.1183206106870229,0.5961538461538461,0.44444444444395653,0.5263157894736842,0.38461538461538464,0.958075465686939,0.36412500515322216,0.9193458557128906,22748,adasyn,0.01
4,4870,0.4496124031007752,0.31868131868131866,0.7631578947368421,0.5773195876283894,0.4745762711864407,0.7368421052631579,0.9957220394736843,0.6107014714134115,0.699072003364563,8038,adasyn,0.01
5,1677,0.3917525773195876,0.2638888888888889,0.76,0.5555555555550616,0.625,0.5,0.9846555287633482,0.48558511770934876,0.8762380480766296,11662,adasyn,0.01
