round,client_id,f1_05,f1_optimal,auc,best_threshold,num_examples,imbalance_strategy,imbalance_sampling
1,1677,0.3125,0.47311827956939534,0.9792714433344816,0.9966039657592773,11662,adasyn,0.05
1,2,0.4090909090909091,0.49999999999950495,0.9924173795228733,0.9247397184371948,17154,adasyn,0.05
1,146,0.45652173913043476,0.5277777777772995,0.9904232263606958,0.8601189851760864,8144,adasyn,0.05
1,4,0.20771513353115728,0.34782608695602635,0.9702052716846072,0.9870686531066895,22748,adasyn,0.05
1,4870,0.38095238095238093,0.5569620253159564,0.9940049342105264,0.9789135456085205,8038,adasyn,0.05
2,1677,0.3333333333333333,0.46846846846797335,0.9760334137099552,0.9605278968811035,11662,adasyn,0.05
2,2,0.45,0.4871794871789954,0.9923496360448435,0.9184802770614624,17154,adasyn,0.05
2,146,0.49411764705882355,0.5499999999995013,0.9909341177848789,0.9132769703865051,8144,adasyn,0.05
2,4,0.22837370242214533,0.3749999999995035,0.9681115445622407,0.9835858345031738,22748,adasyn,0.05
2,4870,0.45390070921985815,0.5897435897430899,0.9943503289473685,0.9492412209510803,8038,adasyn,0.05
3,1677,0.3469387755102041,0.48148148148098424,0.9800327247674819,0.9125510454177856,11662,adasyn,0.05
3,2,0.45614035087719296,0.4819277108428752,0.9918953562509962,0.8330713510513306,17154,adasyn,0.05
3,146,0.5256410256410257,0.5691056910564132,0.9905978622827627,0.7975461483001709,8144,adasyn,0.05
3,4,0.2570281124497992,0.37623762376187664,0.9749273846967272,0.9525033235549927,22748,adasyn,0.05
3,4870,0.49206349206349204,0.5970149253726433,0.994297697368421,0.9417451620101929,8038,adasyn,0.05
4,1677,0.37714285714285717,0.4791666666661676,0.9833689286944539,0.9283913373947144,11662,adasyn,0.05
4,2,0.46846846846846846,0.46846846846798995,0.9916071143934967,0.5092273354530334,17154,adasyn,0.05
4,146,0.5540540540540541,0.5693430656929448,0.9904156334945191,0.5808091759681702,8144,adasyn,0.05
4,4,0.2557077625570776,0.37837837837788035,0.9790063820124183,0.9117989540100098,22748,adasyn,0.05
4,4870,0.5299145299145299,0.5957446808505821,0.9945904605263157,0.7251012325286865,8038,adasyn,0.05
5,1677,0.39263803680981596,0.4842105263152909,0.9836255597657596,0.9106780290603638,11662,adasyn,0.05
5,2,0.48148148148148145,0.4859813084107307,0.991179400669465,0.5342305898666382,17154,adasyn,0.05
5,146,0.5735294117647058,0.582089552238317,0.9900099575016433,0.5458430051803589,8144,adasyn,0.05
5,4,0.2857142857142857,0.37142857142810454,0.9793326001193027,0.7484179139137268,22748,adasyn,0.05
5,4870,0.5420560747663551,0.6105263157889936,0.9941430921052631,0.6199516654014587,8038,adasyn,0.05
6,1677,0.3841059602649007,0.4848484848479849,0.9841457113331037,0.8659907579421997,11662,adasyn,0.05
6,2,0.48598130841121495,0.4999999999995118,0.9904302375006642,0.539299488067627,17154,adasyn,0.05
6,146,0.5692307692307692,0.575757575757085,0.9899730778659274,0.48473209142684937,8144,adasyn,0.05
6,4,0.28865979381443296,0.380952380951881,0.980229911743174,0.8729742765426636,22748,adasyn,0.05
6,4870,0.5918367346938775,0.5918367346934028,0.9937351973684211,0.5066706538200378,8038,adasyn,0.05
7,1677,0.3888888888888889,0.49504950494999506,0.9840303134688253,0.8213937878608704,11662,adasyn,0.05
7,2,0.5,0.5098039215681367,0.9902495882259179,0.5716003775596619,17154,adasyn,0.05
7,146,0.576,0.5858585858580972,0.9896520080961647,0.7960662841796875,8144,adasyn,0.05
7,4,0.3027027027027027,0.3703703703698711,0.9803993756948022,0.8221117258071899,22748,adasyn,0.05
7,4870,0.5681818181818182,0.5915492957741503,0.9931332236842105,0.7784423828125,8038,adasyn,0.05
8,1677,0.41134751773049644,0.5050505050500051,0.9839304168101963,0.8111117482185364,11662,adasyn,0.05
8,2,0.5148514851485149,0.5252525252520314,0.9903080335795122,0.5900039672851562,17154,adasyn,0.05
8,146,0.5737704918032787,0.6034482758615691,0.989877624691133,0.573211133480072,8144,adasyn,0.05
8,4,0.30857142857142855,0.36363636363586516,0.9803773453810906,0.791987955570221,22748,adasyn,0.05
8,4870,0.5581395348837209,0.6027397260268981,0.9929786184210526,0.7370636463165283,8038,adasyn,0.05
9,1677,0.4233576642335766,0.49999999999949996,0.983215638994144,0.7964446544647217,11662,adasyn,0.05
9,2,0.52,0.5360824742263084,0.9894433080070134,0.5670051574707031,17154,adasyn,0.05
9,146,0.5833333333333334,0.6037735849051632,0.9897756633453301,0.6502051949501038,8144,adasyn,0.05
9,4,0.32335329341317365,0.358490566037236,0.9805561298500582,0.7943792939186096,22748,adasyn,0.05
9,4870,0.5647058823529412,0.6176470588230364,0.992560855263158,0.7344851493835449,8038,adasyn,0.05
10,1677,0.42962962962962964,0.4901960784308727,0.9826507061660351,0.7886180877685547,11662,adasyn,0.05
10,2,0.5252525252525253,0.5319148936165232,0.9896120025503427,0.6012029051780701,17154,adasyn,0.05
10,146,0.5811965811965812,0.5999999999995006,0.9894545935755675,0.585130512714386,8144,adasyn,0.05
10,4,0.3170731707317073,0.3448275862064019,0.9810018200428404,0.7329065799713135,22748,adasyn,0.05
10,4870,0.5714285714285714,0.6153846153841296,0.9924358552631578,0.750985324382782,8038,adasyn,0.05
11,1677,0.42424242424242425,0.4901960784308727,0.982369962108164,0.7685955166816711,11662,adasyn,0.05
11,2,0.52,0.526315789473187,0.9895588704107114,0.5711686611175537,17154,adasyn,0.05
11,146,0.591304347826087,0.5981308411209973,0.9891443707574861,0.6008257865905762,8144,adasyn,0.05
11,4,0.2838709677419355,0.33663366336583705,0.9811001091347848,0.8039998412132263,22748,adasyn,0.05
11,4870,0.5647058823529412,0.6060606060601175,0.9917384868421052,0.7153626084327698,8038,adasyn,0.05
12,1677,0.417910447761194,0.4799999999995,0.9815949018256975,0.7773573994636536,11662,adasyn,0.05
12,2,0.5346534653465347,0.5346534653460429,0.9893835343499283,0.505000114440918,17154,adasyn,0.05
12,146,0.584070796460177,0.5999999999995006,0.9889187541625176,0.5605138540267944,8144,adasyn,0.05
12,4,0.2911392405063291,0.33333333333283355,0.98123906957512,0.786565363407135,22748,adasyn,0.05
12,4870,0.5783132530120482,0.5999999999995036,0.9921069078947369,0.660088062286377,8038,adasyn,0.05
13,1677,0.4,0.47422680412321183,0.9816500172235618,0.8142869472503662,11662,adasyn,0.05
13,2,0.5242718446601942,0.5360824742263084,0.9891949152542373,0.5530176758766174,17154,adasyn,0.05
13,146,0.5964912280701754,0.6055045871554643,0.9892441627129528,0.5934075713157654,8144,adasyn,0.05
13,4,0.2875,0.33009708737814086,0.9812992292779481,0.7914648652076721,22748,adasyn,0.05
13,4870,0.5783132530120482,0.6285714285709322,0.9922253289473685,0.6901517510414124,8038,adasyn,0.05
14,1677,0.39416058394160586,0.4615384615379623,0.9811005856011022,0.7684497237205505,11662,adasyn,0.05
14,2,0.5,0.5384615384610503,0.9887950959035121,0.4828883111476898,17154,adasyn,0.05
14,146,0.5892857142857143,0.6055045871554643,0.988818962207051,0.5526061058044434,8144,adasyn,0.05
14,4,0.2967741935483871,0.3272727272722287,0.9816042643908788,0.7303908467292786,22748,adasyn,0.05
14,4870,0.5783132530120482,0.6027397260268981,0.991626644736842,0.6355080008506775,8038,adasyn,0.05
15,1677,0.40601503759398494,0.4571428571423583,0.9803117464691699,0.7506426572799683,11662,adasyn,0.05
15,2,0.5,0.5321100917426377,0.9886901599277402,0.450549840927124,17154,adasyn,0.05
15,146,0.6126126126126126,0.6126126126121129,0.9889057378205003,0.5014009475708008,8144,adasyn,0.05
15,4,0.3026315789473684,0.3302752293572992,0.9814949601420786,0.700157880783081,22748,adasyn,0.05
15,4870,0.5925925925925926,0.6111111111106127,0.9915871710526316,0.6334660053253174,8038,adasyn,0.05
16,1677,0.4090909090909091,0.4631578947363435,0.9797829831209094,0.8218153715133667,11662,adasyn,0.05
16,2,0.5098039215686274,0.5321100917426377,0.9879954572020616,0.4462481141090393,17154,adasyn,0.05
