round,client_id,f1_05,precision_05,recall_05,f1_optimal,precision_optimal,recall_optimal,roc_auc,auc_pr,best_threshold,num_examples,imbalance_strategy,imbalance_sampling
1,1677,0.4550898203592814,0.3247863247863248,0.76,0.5961538461533469,0.5740740740740741,0.62,0.9752152945229073,0.5954038439369379,0.9457076191902161,11662,adasyn,0.09
1,2,0.28,0.16990291262135923,0.7954545454545454,0.4109589041091101,0.5172413793103449,0.3409090909090909,0.9907908718984113,0.4102685602280818,0.9951773881912231,17154,adasyn,0.09
1,146,0.5578231292517006,0.45555555555555555,0.7192982456140351,0.5637583892612725,0.45652173913043476,0.7368421052631579,0.9764208964354747,0.595383399812711,0.48049068450927734,8144,adasyn,0.09
1,4,0.17344173441734417,0.10094637223974763,0.6153846153846154,0.45238095238048065,0.59375,0.36538461538461536,0.9676357745180445,0.3514910647597392,0.9949371814727783,22748,adasyn,0.09
1,4870,0.5225225225225225,0.3972602739726027,0.7631578947368421,0.6027397260268981,0.6285714285714286,0.5789473684210527,0.9940296052631579,0.6318641183414528,0.9183997511863708,8038,adasyn,0.09
2,1677,0.4578313253012048,0.3275862068965517,0.76,0.59259259259212,0.7741935483870968,0.48,0.9813141577678264,0.596329782803689,0.9869301319122314,11662,adasyn,0.09
2,2,0.3076923076923077,0.192090395480226,0.7727272727272727,0.45454545454501,0.6818181818181818,0.3409090909090909,0.9905331810211997,0.4480393733022991,0.9929227828979492,17154,adasyn,0.09
2,146,0.5637583892617449,0.45652173913043476,0.7368421052631579,0.5874125874121078,0.4883720930232558,0.7368421052631579,0.9778353389346991,0.5969335294301145,0.5244408845901489,8144,adasyn,0.09
2,4,0.17971014492753623,0.10580204778156997,0.5961538461538461,0.47619047618997623,0.4716981132075472,0.4807692307692308,0.9703726173368402,0.3969275258003495,0.9835334420204163,22748,adasyn,0.09
2,4870,0.5523809523809524,0.43283582089552236,0.7631578947368421,0.6410256410251414,0.625,0.6578947368421053,0.9943585526315789,0.6380089538757757,0.8718094229698181,8038,adasyn,0.09
3,1677,0.4840764331210191,0.35514018691588783,0.76,0.5925925925920954,0.5517241379310345,0.64,0.9808663451601791,0.579649125039771,0.9082216620445251,11662,adasyn,0.09
3,2,0.3076923076923077,0.1951219512195122,0.7272727272727273,0.4687499999995703,0.75,0.3409090909090909,0.9897946442803253,0.47097092406901986,0.9897569417953491,17154,adasyn,0.09
3,146,0.5571428571428572,0.46987951807228917,0.6842105263157895,0.583333333332855,0.4827586206896552,0.7368421052631579,0.9766606140676286,0.5904357024876643,0.4839763939380646,8144,adasyn,0.09
3,4,0.17846153846153845,0.10622710622710622,0.5576923076923077,0.47058823529364263,0.6060606060606061,0.38461538461538464,0.9701277419267373,0.38939163154322853,0.9901725053787231,22748,adasyn,0.09
3,4870,0.5631067961165048,0.4461538461538462,0.7631578947368421,0.637681159419795,0.7096774193548387,0.5789473684210527,0.9942467105263157,0.6320257612183379,0.9011377096176147,8038,adasyn,0.09
4,1677,0.4720496894409938,0.34234234234234234,0.76,0.5742574257420743,0.5686274509803921,0.58,0.9770547709266276,0.5364209496077644,0.9293502569198608,11662,adasyn,0.09
4,2,0.328042328042328,0.21379310344827587,0.7045454545454546,0.4687499999995703,0.75,0.3409090909090909,0.9903246373731471,0.4790863407691636,0.9868484139442444,17154,adasyn,0.09
